NREGION,NPROVINCE,NDISTRICT,NVILL_SECT,NCOMMUNE,NOM,Name of HF as it appears in the HF-level data base ,remarks,POINT_X,POINT_Y,Statut
BOUCLE DU MOUHOUN,BALA,BOROMO,FOBIRI,YAHO,CSPS DE FOBIRI,CSPS FOBIRI,,-3.472722222,11.88325,51
BOUCLE DU MOUHOUN,BALE,BOROMO,BAGASSI,BAGASSI,CSPS DE BAGASSI,CSPS BAGASSI,,-3.304194444,11.74869444,51
BOUCLE DU MOUHOUN,BALE,BOROMO,,BAGASSI,CSPS DE MANA,CSPS MANA,,-3.371944444,11.87094444,51
BOUCLE DU MOUHOUN,BALE,BOROMO,POHIM,BAGASSI,CSPS DE PAHIN,CSPS PAHIN,,-3.227861111,11.71733333,51
BOUCLE DU MOUHOUN,BALE,BOROMO,VY,BAGASSI,CSPS DE VY,CSPS VY,,-3.135555556,11.75591667,51
BOUCLE DU MOUHOUN,BALE,BOROMO,BANA,BANA,CSPS DE BANA,CSPS BANA,,0.749666667,13.22611111,51
BOUCLE DU MOUHOUN,BALE,BOROMO,WONA,BANA,CSPS DE WONA,CSPS WONA,,-3.429833333,11.97202778,51
BOUCLE DU MOUHOUN,BALE,BOROMO,YONA,BANA,CSPS DE YONA,CSPS YONA,,-3.389472222,11.97022222,51
BOUCLE DU MOUHOUN,BALE,BOROMO,1,BOROMO,CMA DE BOROMO,CMA BOROMO,,-2.934333333,11.741,3
BOUCLE DU MOUHOUN,BALE,BOROMO,N_1,BOROMO,CSPS DE BOROMO,CSPS BOROMO,,-2.935805556,11.74130556,51
BOUCLE DU MOUHOUN,BALE,BOROMO,NANOU,BOROMO,CSPS DE NANOU,CSPS NANOU,,-3.083475136,11.76544168,51
BOUCLE DU MOUHOUN,BALE,BOROMO,OUAHABOU,BOROMO,CSPS DE OUAHABOU,CSPS OUAHABOU,,-3.099888889,11.68355556,51
BOUCLE DU MOUHOUN,BALE,BOROMO,OUROUBONON,BOROMO,CSPS DE OUROUBONON,CSPS OUROBONON,,-2.93725,11.69011111,51
BOUCLE DU MOUHOUN,BALE,BOROMO,FARA,FARA,CSPS DE FARA,CSPS FARA,,-4.676305556,11.60988889,51
BOUCLE DU MOUHOUN,BALE,BOROMO,KABOUROU,FARA,CSPS DE KABOUROU,CSPS KABOUROU (FARA),,-2.76175,11.42055556,51
BOUCLE DU MOUHOUN,BALE,BOROMO,NABOU,FARA,CSPS DE NABOU,CSPS NABOU,,-2.720527778,11.44677778,51
BOUCLE DU MOUHOUN,BALE,BOROMO,MOU,OURY,CSPS DE MOU,CSPS MOU,,-2.968611111,11.99508333,51
BOUCLE DU MOUHOUN,BALE,BOROMO,OULLO,OURY,CSPS DE OULLO,CSPS OULLO,,-2.975138889,11.90461111,51
BOUCLE DU MOUHOUN,BALE,BOROMO,OURY,OURY,CSPS DE OURY,CSPS OURY,,-3.042222222,11.97205556,51
BOUCLE DU MOUHOUN,BALE,BOROMO,SERENA,OURY,CSPS DE SERENA,CSPS SÉRÉNA,,-3.080805556,12.06438889,51
BOUCLE DU MOUHOUN,BALE,BOROMO,SIOU,OURY,CSPS DE SIOU,CSPS SIOU,,-3.183527778,12.07994444,51
BOUCLE DU MOUHOUN,BALE,BOROMO,SOUBOUY,OURY,CSPS DE SOUBOUY,CSPS SOUBOUY,,-3.128166667,11.85433333,51
BOUCLE DU MOUHOUN,BALE,BOROMO,KOPOIE,PA,CSPS DE KOPOIE,CSPS KOPOÏE,,-3.374694444,11.60116667,51
BOUCLE DU MOUHOUN,BALE,BOROMO,PA,PA,CSPS DE PA,CSPS PÂ,,-3.261333333,11.54688889,51
BOUCLE DU MOUHOUN,BALE,BOROMO,POMPO_,POMPO_,CSPS DE POMPO_,CSPS POMPOÏ,,-3.235611111,11.85902778,51
BOUCLE DU MOUHOUN,BALE,BOROMO,KOKOI,POMPOI,CSPS DE KOKOI,CSPS KOKOÏ,,-3.298444444,11.90322222,51
BOUCLE DU MOUHOUN,BALE,BOROMO,KONKOLIKO,POMPOI,CSPS DE KONKOLIKO,CSPS KONKOLIKO,,-3.337027778,11.97622222,51
BOUCLE DU MOUHOUN,BALE,BOROMO,5,POURA,CSPS DE DE POURA,CM POURA,,-2.762027778,11.59947222,42
BOUCLE DU MOUHOUN,BALE,BOROMO,SECACO,SIBY,CSPS DE SECACO,CSPS SECACO,,-2.860388889,11.90280556,51
BOUCLE DU MOUHOUN,BALE,BOROMO,MAMOU,YAHO,CSPS DE MAMOU,CSPS MAMOU,,-3.453638889,11.80863889,51
BOUCLE DU MOUHOUN,BALE,BOROMO,YAHO,YAHO,CSPS DE YAHO,CSPS YAHO,,-3.54525,11.81405556,51
BOUCLE DU MOUHOUN,BALES,BOROMO,TONE,FARA,CSPS DE TONE,CSPS TONÉ,,-2.780555556,11.37202778,51
BOUCLE DU MOUHOUN,BALLE,BOROMO,SIBY,SIBY,CSPS DE SIBY,CSPS SIBY (SIBY),,-2.971361111,11.85575,51
BOUCLE DU MOUHOUN,BANWA,SOLENZO,BALAVE,BALAVE,CSPS DE BALAVE,CSPS BALAVÉ,,-4.153833333,12.37769444,51
BOUCLE DU MOUHOUN,BANWA,SOLENZO,YASSO,BALAVE,CSPS DE YASSO,CSPS YASSO,,-4.023222222,12.36677778,61
BOUCLE DU MOUHOUN,BANWA,SOLENZO,DIONTALA,KOUKA,CSPS DE DIONTALA,CSPS DIONTALA,,-4.457944444,11.765,51
BOUCLE DU MOUHOUN,BANWA,SOLENZO,FINI,KOUKA,CSPS DE FINI,CSPS FINI,,-4.388777778,11.82113889,51
BOUCLE DU MOUHOUN,BANWA,SOLENZO,KOUKA,KOUKA,CSPS DE KOUKA,CLINIQUE KOUKA,,-4.341472222,11.90116667,51
BOUCLE DU MOUHOUN,BANWA,SOLENZO,MAHOUANA,KOUKA,CSPS DE MAHOUANA,,missing?,-4.292777778,12.04752778,51
BOUCLE DU MOUHOUN,BANWA,SOLENZO,SAMA,KOUKA,CSPS DE SAMA,CSPS SAMA,,-4.331944444,11.77341667,51
BOUCLE DU MOUHOUN,BANWA,SOLENZO,SIWI,KOUKA,CSPS DE SIWI,CSPS SIWI,,-4.36975,11.97838889,51
BOUCLE DU MOUHOUN,BANWA,SOLENZO,PRIWE,SAMI,CSPS DE PRIWE,CSPS PRIWÉ,,-4.487333333,12.20155556,51
BOUCLE DU MOUHOUN,BANWA,SOLENZO,SOGODJANKOLI,SAMI,CSPS DE SOGODJANKOLI,CSPS SOGODJANKOLI,,-4.38975,12.24897222,61
BOUCLE DU MOUHOUN,BANWA,SOLENZO,KOSSOBA,SANABA,CSPS DE KOSSOBA,CSPS KOSSOBA,,-3.962972222,12.46116667,51
BOUCLE DU MOUHOUN,BANWA,SOLENZO,KOUNLA,SANABA,CSPS DE KOUNLA,CSPS KOUNLA,,-3.798833333,12.48797222,61
BOUCLE DU MOUHOUN,BANWA,SOLENZO,MOUSSAKUY,SANABA,CSPS DE MOUSSAKUY,CSPS MOUSSAKUY,,-3.705833333,12.49197222,51
BOUCLE DU MOUHOUN,BANWA,SOLENZO,SANABA,SANABA,CSPS DE SANABA,CSPS SANABA,,-3.816555556,12.40952778,51
BOUCLE DU MOUHOUN,BANWA,SOLENZO,ZIGA,SANABA,CSPS DE ZIGA,CSPS ZIGA,,-1.116527778,12.57072222,51
BOUCLE DU MOUHOUN,BANWA,SOLENZO,1,SOLENZO,CMA DE SOLENZO,CMA (SOLENZO),,-4.082361111,12.18030556,3
BOUCLE DU MOUHOUN,BANWA,SOLENZO,BAN,SOLENZO,CSPS DE BAN,CSPS BAN,,-4.140722222,12.03897222,51
BOUCLE DU MOUHOUN,BANWA,SOLENZO,BAYE,SOLENZO,CSPS DE BAYE,CSPS BAYE,,-4.080138889,12.06025,51
BOUCLE DU MOUHOUN,BANWA,SOLENZO,BENA,SOLENZO,CSPS DE BENA,CSPS BENA,,-4.194222222,12.07013889,51
BOUCLE DU MOUHOUN,BANWA,SOLENZO,BONZA,SOLENZO,CSPS DE BONZA,CSPS BONZA,,-3.958,12.11088889,51
BOUCLE DU MOUHOUN,BANWA,SOLENZO,DABOURA,SOLENZO,CSPS DE DABOURA,CSPS DABOURA,,-3.925916667,12.23019444,51
BOUCLE DU MOUHOUN,BANWA,SOLENZO,DARSALAM,SOLENZO,CSPS DE DARSALAM,CSPS DARSALAM,,-4.006861111,12.01261111,51
BOUCLE DU MOUHOUN,BANWA,SOLENZO,DIRA,SOLENZO,CSPS DE DIRA,CSPS DIRA,,-3.984277778,12.34963889,51
BOUCLE DU MOUHOUN,BANWA,SOLENZO,MAWE,SOLENZO,CSPS DE MAWE,CSPS MAWÉ,,-4.374583333,12.08080556,61
BOUCLE DU MOUHOUN,BANWA,SOLENZO,SIGUINOGHIN,SOLENZO,CSPS DE SIGUINOGHIN,CSPS SIGNONGHIN (SOLENZO),,-4.24475,12.00530556,51
BOUCLE DU MOUHOUN,BANWA,SOLENZO,TOUKORO,SOLENZO,CSPS DE TOUKORO,CSPS TOUKORO,,-4.249666667,11.42022222,51
BOUCLE DU MOUHOUN,BANWA,SOLENZO,4,SOLENZO,CSPS URBAIN N_1 SOLENZO,CSPS SOLENZO1,,-4.074055556,12.18372222,51
