,Day,Site,Trial_Number,Arm,Var1,Var3
135,136,A,2,Control-II,0.19686089709610702,0.492096717829137
136,137,A,2,Control-II,0.20529342955529803,0.7193865582776591
137,138,A,2,Control-II,0.21387175104038197,0.966677774790743
138,139,A,2,Control-II,0.222593319609567,1.2321395097209198
139,140,A,2,Control-II,0.23145555087386102,1.51380637725965
140,141,A,2,Control-II,0.240455818762877,1.8095930144662402
141,142,A,2,Control-II,0.24959145630299698,2.11730952056545
142,143,A,2,Control-II,0.258859756407655,2.43467767020667
143,144,A,2,Control-II,0.268257972679503,2.7593477806472797
144,145,A,2,Control-II,0.277783320224232,3.08891610798168
145,146,A,2,Control-II,0.287432976475788,3.42094264362006
146,147,A,2,Control-II,0.297204082032768,3.75296917925846
147,148,A,2,Control-II,0.307093741505718,4.08253750659285
148,149,A,2,Control-II,0.3170990243751,4.40720761703346
149,150,A,2,Control-II,0.327216965859667,4.72457576667468
150,151,A,2,Control-II,0.337444567794995,5.0322922727739
151,152,A,2,Control-II,0.347778799521901,5.328078909980491
152,153,A,2,Control-II,0.35821659878449297,5.60974577751922
153,154,A,2,Control-II,0.36875487263758294,5.87520751244939
154,155,A,2,Control-II,0.37939049836319394,6.122498728962481
155,156,A,2,Control-II,0.39012032439588795,6.349788569411
156,157,A,2,Control-II,0.4009411712566429,6.55539425933799
157,158,A,2,Control-II,0.411849832495,6.73779356615034
158,159,A,2,Control-II,0.422843075639208,6.895636069196299
159,160,A,2,Control-II,0.433917643154068,7.027753157807549
160,161,A,2,Control-II,0.445070253406218,7.133166683283731
161,162,A,2,Control-II,0.45629760163654604,7.2110962007631505
162,163,A,2,Control-II,0.467596360939466,7.26096474736354
163,164,A,2,Control-II,0.478963183248748,7.28240311381333
164,165,A,2,Control-II,0.49039470032962895,7.27525257794795
165,166,A,2,Control-II,0.501887524776882,7.239566079833209
166,167,A,2,Control-II,0.513438251018589,7.17560782981553
167,168,A,2,Control-II,0.52504345632528,7.08385135240102
168,169,A,2,Control-II,0.536699701824162,6.96497598044569
169,170,A,2,Control-II,0.54840353351813,6.81986182561267
170,171,A,2,Control-II,0.560151483309265,6.649583262333361
171,172,A,2,Control-II,0.571940070026502,6.45540097351507
172,173,A,2,Control-II,0.583765800457177,6.2387526168857805
173,174,A,2,Control-II,0.595625170382145,6.0012421810794105
174,175,A,2,Control-II,0.607514665614151,5.74462811026505
175,176,A,2,Control-II,0.61943076303916,5.47081028524167
176,177,A,2,Control-II,0.631369931660335,5.181815957385309
177,178,A,2,Control-II,0.643328633644345,4.879784739589191
178,179,A,2,Control-II,0.655303325369703,4.56695276531846
179,180,A,2,Control-II,0.667290458476816,4.24563613306034
180,181,A,2,Control-II,0.67928648091944,3.9182137587412598
181,182,A,2,Control-II,0.69128783801723,3.5871097630656803
182,183,A,2,Control-II,0.703290973509068,3.25477552417448
183,184,A,2,Control-II,0.7152923306068578,2.92367152849891
184,185,A,2,Control-II,0.7272883530494821,2.59624915417983
185,186,A,2,Control-II,0.7392754861565949,2.2749325219217003
186,187,A,2,Control-II,0.7512501778819529,1.96210054765098
187,188,A,2,Control-II,0.7632088798659641,1.66006932985486
188,189,A,2,Control-II,0.775148048487139,1.37107500199849
189,190,A,2,Control-II,0.7870641459121479,1.09725717697511
190,191,A,2,Control-II,0.7989536411441529,0.840643106160761
191,192,A,2,Control-II,0.810813011069121,0.6031326703543779
192,193,A,2,Control-II,0.822638741499797,0.38648431372508896
193,194,A,2,Control-II,0.834427328217033,0.192302024906788
194,195,A,2,Control-II,0.846175278008168,0.0220234616274873
195,196,A,2,Control-II,0.8578791097021371,-0.12309069320553599
196,197,A,2,Control-II,0.869535355201018,-0.241966065160865
197,198,A,2,Control-II,0.8811405605077091,-0.33372254257537604
198,199,A,2,Control-II,0.892691286749417,-0.397680792593057
199,200,A,2,Control-II,0.9041841111966701,-0.43336729070780394
200,201,A,2,Control-II,0.91561562827755,-0.440517826573181
201,202,A,2,Control-II,0.926982450586833,-0.41907946012339203
202,203,A,2,Control-II,0.9382812098897522,-0.369210913523009
203,204,A,2,Control-II,0.949508558120081,-0.291281396043589
204,205,A,2,Control-II,0.9606611683722299,-0.185867870567412
205,206,A,2,Control-II,0.97173573588709,-0.0537507819561547
206,207,A,2,Control-II,0.982728979031298,0.1040917210898
207,208,A,2,Control-II,0.9936376402696558,0.286491027902144
208,209,A,2,Control-II,1.00445848713041,0.49209671782913594
209,210,A,2,Control-II,1.0151883131631,0.719386558277658
210,211,A,2,Control-II,1.02582393888872,0.966677774790737
211,212,A,2,Control-II,1.0363622127418102,1.2321395097209098
212,213,A,2,Control-II,1.0468000120044,1.51380637725965
213,214,A,2,Control-II,1.0571342437313,1.8095930144662402
214,215,A,2,Control-II,1.06736184566663,2.11730952056545
215,216,A,2,Control-II,1.0774797871511999,2.43467767020666
216,217,A,2,Control-II,1.08748507002058,2.7593477806472797
217,218,A,2,Control-II,1.09737472949353,3.08891610798167
218,219,A,2,Control-II,1.1071458350505101,3.42094264362006
219,220,A,2,Control-II,1.1167954913020701,3.75296917925845
220,221,A,2,Control-II,1.12632083884679,4.08253750659285
221,222,A,2,Control-II,1.13571905511864,4.40720761703346
222,223,A,2,Control-II,1.1449873552233,4.72457576667467
223,224,A,2,Control-II,1.1541229927634198,5.03229227277389
224,225,A,2,Control-II,1.16312326065244,5.328078909980481
225,226,A,2,Control-II,1.1719854919167298,5.60974577751922
226,227,A,2,Control-II,1.1807070604859198,5.87520751244938
227,228,A,2,Control-II,1.189285381971,6.122498728962481
228,229,A,2,Control-II,1.19771791443019,6.349788569411
229,230,A,2,Control-II,1.20600215912213,6.55539425933799
230,231,A,2,Control-II,1.21413566124633,6.73779356615033
231,232,A,2,Control-II,1.2221160106705802,6.89563606919629
232,233,A,2,Control-II,1.2299408426451,7.027753157807549
233,234,A,2,Control-II,1.23760783850332,7.133166683283731
234,235,A,2,Control-II,1.24511472634889,7.2110962007631505
235,236,A,2,Control-II,1.25245928172893,7.26096474736354
236,237,A,2,Control-II,1.25963932829318,7.28240311381333
237,238,A,2,Control-II,1.2666527384388702,7.27525257794795
238,239,A,2,Control-II,1.27349743394123,7.239566079833209
239,240,A,2,Control-II,1.28017138656925,7.17560782981553
240,241,A,2,Control-II,1.2866726186867299,7.08385135240102
241,242,A,2,Control-II,1.29299920383829,6.96497598044569
242,243,A,2,Control-II,1.2991492673202099,6.81986182561268
243,244,A,2,Control-II,1.30512098673595,6.649583262333371
244,245,A,2,Control-II,1.31091259253618,6.45540097351507
245,246,A,2,Control-II,1.31652236854308,6.2387526168857805
246,247,A,2,Control-II,1.3219486524589799,6.0012421810794105
247,248,A,2,Control-II,1.3271898363588202,5.74462811026506
248,249,A,2,Control-II,1.3322443671667201,5.47081028524167
249,250,A,2,Control-II,1.3371107471161001,5.181815957385309
250,251,A,2,Control-II,1.3417875341935601,4.8797847395892004
251,252,A,2,Control-II,1.34627334256616,4.56695276531846
252,253,A,2,Control-II,1.35056684299207,4.24563613306034
253,254,A,2,Control-II,1.35466676321444,3.9182137587412598
254,255,A,2,Control-II,1.3585718883384401,3.5871097630656896
255,256,A,2,Control-II,1.3622810611912,3.25477552417449
256,257,A,2,Control-II,1.3657931826647698,2.92367152849891
257,258,A,2,Control-II,1.36910721204174,2.59624915417983
258,259,A,2,Control-II,1.3722221673036998,2.2749325219217202
259,260,A,2,Control-II,1.3751371254221698,1.96210054765098
260,261,A,2,Control-II,1.37785122263216,1.66006932985486
261,262,A,2,Control-II,1.38036365468808,1.37107500199849
262,263,A,2,Control-II,1.3826736771020902,1.09725717697512
263,264,A,2,Control-II,1.3847806053647,0.840643106160761
264,265,A,2,Control-II,1.3866838151476002,0.6031326703543779
265,266,A,2,Control-II,1.3883827424886497,0.38648431372509
266,267,A,2,Control-II,1.389876883959,0.192302024906797
267,268,A,2,Control-II,1.39116579681231,0.0220234616274878
268,269,A,2,Control-II,1.39224909911587,-0.123090693205535
269,270,A,2,Control-II,1.3931264698638302,-0.241966065160864
270,271,A,2,Control-II,1.3937976490723003,-0.333722542575373
271,272,A,2,Control-II,1.3942624378564,-0.397680792593057
272,273,A,2,Control-II,1.39452069848919,-0.43336729070780394
273,274,A,2,Control-II,1.3945723544424498,-0.440517826573181
274,275,A,2,Control-II,1.39441739040942,-0.419079460123394
275,276,A,2,Control-II,1.39405585230929,-0.36921091352301
276,277,A,2,Control-II,1.3934878472735899,-0.29128139604359
277,278,A,2,Control-II,1.39271354361448,-0.185867870567412
278,279,A,2,Control-II,1.39173317077485,-0.0537507819561611
279,280,A,2,Control-II,1.39054701926032,0.10409172108979901
280,281,A,2,Control-II,1.38915544055318,0.286491027902144
281,282,A,2,Control-II,1.3875588470082398,0.49209671782913594
282,283,A,2,Control-II,1.38575771173063,0.719386558277648
283,284,A,2,Control-II,1.3837525684356,0.966677774790737
284,285,A,2,Control-II,1.3815440112903703,1.2321395097209098
285,286,A,2,Control-II,1.37913269473811,1.51380637725965
286,287,A,2,Control-II,1.37651933330394,1.80959301446623
287,288,A,2,Control-II,1.37370470138326,2.11730952056545
288,289,A,2,Control-II,1.37068963301224,2.43467767020666
289,290,A,2,Control-II,1.3674750216207299,2.7593477806472797
290,291,A,2,Control-II,1.3640618197674501,3.0889161079816603
291,292,A,2,Control-II,1.36045103885777,3.42094264362006
292,293,A,2,Control-II,1.3566437488440002,3.75296917925845
293,294,A,2,Control-II,1.3526410779083502,4.08253750659285
294,295,A,2,Control-II,1.34844421212859,4.40720761703345
295,296,A,2,Control-II,1.34405439512664,4.72457576667467
296,297,A,2,Control-II,1.3394729277,5.03229227277389
297,298,A,2,Control-II,1.33470116743636,5.328078909980481
298,299,A,2,Control-II,1.32974052831127,5.6097457775191995
299,300,A,2,Control-II,1.3245924802691498,5.87520751244938
300,301,A,2,Control-II,1.31925854878774,6.12249872896247
301,302,A,2,Control-II,1.31374031442606,6.349788569411
302,303,A,2,Control-II,1.30803941235605,6.555394259337981
303,304,A,2,Control-II,1.30215753187802,6.73779356615033
304,305,A,2,Control-II,1.29609641592009,6.89563606919629
305,306,A,2,Control-II,1.28985786052175,7.027753157807549
306,307,A,2,Control-II,1.28344371430158,7.133166683283731
307,308,A,2,Control-II,1.27685587790955,7.2110962007631505
